exp;ntasks;memory;dispatch;wait
single;19;8192;160275;1123073
single;19;8192;162719;1099511
single;19;8192;162124;1097244
single;19;8192;162067;1098331
single;19;8192;162672;1096655
single;19;8192;162662;1098742
single;19;8192;162598;1097769
single;20;8192;171216;1152013
single;20;8192;170132;1178336
single;20;8192;170225;1177940
single;20;8192;170464;1177857
single;20;8192;170271;1178107
single;20;8192;170593;1178154
single;20;8192;170124;1177503
single;20;8192;170428;1177869
single;20;8192;171353;1176383
single;20;8192;170272;1178355
single;20;8192;170204;1177961
single;20;8192;170317;1178097
single;20;8192;170502;1177887
single;20;8192;170434;1178284
single;20;8192;171370;1176341
single;20;8192;170308;1178355
single;20;8192;170275;1178157
single;20;8192;170502;1178023
single;20;8192;171306;1176969
single;20;8192;170280;1178234
single;20;8192;171446;1176266
single;20;8192;170378;1177359
single;20;8192;171316;1176976
single;20;8192;170486;1177868
single;20;8192;170461;1178413
single;20;8192;170260;1178355
single;20;8192;170515;1177801
single;20;8192;170429;1177453
single;20;8192;170143;1178037
single;20;8192;170197;1178336
single;20;8192;170354;1178047
single;20;8192;170254;1178099
single;20;8192;171206;1176611
single;20;8192;170211;1178106
single;20;8192;170133;1178219
single;20;8192;170458;1177971
single;20;8192;170262;1178390
single;20;8192;170227;1178746
single;20;8192;171379;1177027
single;20;8192;171384;1177435
single;20;8192;170354;1178047
single;20;8192;171215;1177217
single;20;8192;170397;1178271
single;20;8192;170239;1178275
single;20;8192;170565;1177304
single;20;8192;171370;1176341
single;20;8192;170575;1177784
single;20;8192;168824;1171162
single;20;8192;170351;1178053
single;20;8192;170212;1178156
single;21;8192;178674;1207625
single;21;8192;178108;1224217
single;21;8192;178173;1227546
single;21;8192;178006;1230240
single;21;8192;178099;1222903
single;21;8192;178196;1235317
single;21;8192;178001;1223516
single;21;8192;178173;1231729
single;21;8192;178021;1231366
single;21;8192;178244;1231773
single;21;8192;178127;1224115
single;21;8192;178081;1230005
single;21;8192;177949;1222326
single;21;8192;177947;1236379
single;21;8192;178062;1227345
single;21;8192;178157;1224064
single;21;8192;178197;1232700
single;21;8192;178131;1223474
single;21;8192;178238;1232274
single;21;8192;178141;1223607
single;21;8192;178204;1235203
single;21;8192;178127;1223339
single;21;8192;178198;1231347
single;21;8192;178139;1224173
single;21;8192;178054;1228480
single;21;8192;178272;1233604
single;21;8192;178129;1224198
single;21;8192;177990;1233280
single;21;8192;178171;1224158
single;21;8192;177970;1227297
single;21;8192;178050;1225799
single;21;8192;178016;1226125
single;21;8192;178033;1231571
single;21;8192;178082;1222173
single;21;8192;178040;1228098
single;21;8192;177948;1225516
single;21;8192;178826;1251116
single;21;8192;178125;1227509
single;21;8192;178243;1231477
single;21;8192;178103;1222963
single;21;8192;178178;1227605
single;21;8192;178023;1228794
single;21;8192;178163;1228033
single;21;8192;178165;1225282
single;21;8192;178209;1221733
single;21;8192;178164;1224199
single;21;8192;178025;1225006
single;21;8192;178055;1224962
single;21;8192;178756;1251069
single;21;8192;178087;1222901
single;22;8192;186548;1281159
single;22;8192;185922;1277541
single;22;8192;186553;1277287
single;22;8192;182863;1304125
single;22;8192;185938;1274629
single;22;8192;182780;1304000
single;22;8192;187910;1272277
single;22;8192;185464;1305021
single;22;8192;186477;1275797
single;22;8192;185466;1299676
single;22;8192;185849;1278342
single;22;8192;185422;1300642
single;22;8192;186555;1276996
single;22;8192;184653;1302634
single;22;8192;186614;1274913
single;22;8192;182853;1303868
single;22;8192;186611;1277608
single;22;8192;186571;1276381
single;22;8192;185405;1297777
single;22;8192;185445;1305237
single;22;8192;186100;1279852
single;22;8192;185437;1275061
single;22;8192;185473;1297088
single;22;8192;185493;1294796
single;22;8192;185465;1305596
single;22;8192;185361;1275693
single;22;8192;185513;1298257
single;22;8192;186005;1278891
single;22;8192;186637;1281198
single;22;8192;186696;1276648
single;22;8192;186601;1276587
single;22;8192;185403;1304917
single;22;8192;186538;1274509
single;22;8192;184664;1296926
single;22;8192;185354;1305461
single;22;8192;185397;1275005
single;22;8192;185623;1300098
single;22;8192;186510;1273496
single;22;8192;182818;1301386
single;22;8192;185352;1278454
single;22;8192;185566;1305695
single;22;8192;185921;1280081
single;22;8192;186616;1275712
single;22;8192;186502;1282559
single;22;8192;186570;1274647
single;22;8192;185417;1304094
single;22;8192;186581;1272855
